user_id,full_name,category_name,month,year,budget_amount,actual_spent,utilization,recommended_budget
1026,Brenda Kamau,Rent,1,2025,7703.07,,,7703.07
1026,Brenda Kamau,Rent,2,2025,5447.31,,,5447.31
1026,Brenda Kamau,Rent,3,2025,2314.68,,,2314.68
1026,Brenda Kamau,Rent,4,2025,1943.99,,,1943.99
1026,Brenda Kamau,Rent,5,2025,7037.08,,,7037.08
1026,Brenda Kamau,Rent,6,2025,2590.49,,,2590.49
1026,Brenda Kamau,Rent,7,2025,2835.82,,,2835.82
1026,Brenda Kamau,Rent,8,2025,7371.79,,,7371.79
1026,Brenda Kamau,Rent,9,2025,8735.3,,,8735.3
1026,Brenda Kamau,Rent,10,2025,11769.72,,,11769.72
1026,Brenda Kamau,Rent,11,2025,2107.78,2595.0,123.12,2529.3360000000002
1026,Brenda Kamau,Rent,12,2025,3920.65,,,3920.65
1026,Brenda Kamau,Groceries,1,2025,5335.85,,,5335.85
1026,Brenda Kamau,Groceries,2,2025,10247.77,6948.7,67.81,10247.77
1026,Brenda Kamau,Groceries,3,2025,10752.45,18387.13,171.0,12902.94
1026,Brenda Kamau,Groceries,4,2025,2398.43,10967.4,457.27,2878.1159999999995
1026,Brenda Kamau,Groceries,5,2025,2569.95,,,2569.95
1026,Brenda Kamau,Groceries,6,2025,10685.4,,,10685.4
1026,Brenda Kamau,Groceries,7,2025,6152.89,,,6152.89
1026,Brenda Kamau,Groceries,8,2025,8325.04,,,8325.04
1026,Brenda Kamau,Groceries,9,2025,5594.43,17708.7,316.54,6713.316
1026,Brenda Kamau,Groceries,10,2025,9854.27,,,9854.27
1026,Brenda Kamau,Groceries,11,2025,1528.75,,,1528.75
1026,Brenda Kamau,Groceries,12,2025,8765.66,,,8765.66
1026,Brenda Kamau,Transport,1,2025,12315.54,5451.74,44.27,10468.209
1026,Brenda Kamau,Transport,2,2025,9862.66,,,9862.66
1026,Brenda Kamau,Transport,3,2025,8862.62,,,8862.62
1026,Brenda Kamau,Transport,4,2025,4368.41,,,4368.41
1026,Brenda Kamau,Transport,5,2025,6542.38,,,6542.38
1026,Brenda Kamau,Transport,6,2025,3423.81,11238.54,328.25,4108.572
1026,Brenda Kamau,Transport,7,2025,11689.93,,,11689.93
1026,Brenda Kamau,Transport,8,2025,6780.16,11407.57,168.25,8136.191999999999
1026,Brenda Kamau,Transport,9,2025,4717.16,,,4717.16
1026,Brenda Kamau,Transport,10,2025,2384.68,,,2384.68
1026,Brenda Kamau,Transport,11,2025,4588.43,,,4588.43
1026,Brenda Kamau,Transport,12,2025,9066.65,2712.13,29.91,7706.652499999999
1026,Brenda Kamau,Utilities,1,2025,8947.84,363.44,4.06,7605.664
1026,Brenda Kamau,Utilities,2,2025,6991.59,,,6991.59
1026,Brenda Kamau,Utilities,3,2025,1045.61,22075.79,2111.28,1254.7319999999997
1026,Brenda Kamau,Utilities,4,2025,11933.95,,,11933.95
1026,Brenda Kamau,Utilities,5,2025,4531.09,,,4531.09
1026,Brenda Kamau,Utilities,6,2025,2505.97,,,2505.97
1026,Brenda Kamau,Utilities,7,2025,8650.85,11700.02,135.25,10381.02
1026,Brenda Kamau,Utilities,8,2025,2844.02,,,2844.02
1026,Brenda Kamau,Utilities,9,2025,1993.43,,,1993.43
1026,Brenda Kamau,Utilities,10,2025,6950.66,,,6950.66
1026,Brenda Kamau,Utilities,11,2025,9504.59,,,9504.59
1026,Brenda Kamau,Utilities,12,2025,8435.98,,,8435.98
1026,Brenda Kamau,Internet,1,2025,4365.97,10537.45,241.35,5239.164
1026,Brenda Kamau,Internet,2,2025,1709.68,,,1709.68
1026,Brenda Kamau,Internet,3,2025,6052.78,18690.350000000002,308.79,7263.335999999999
1026,Brenda Kamau,Internet,4,2025,2929.68,,,2929.68
1026,Brenda Kamau,Internet,5,2025,11305.17,11224.59,99.29,11305.17
1026,Brenda Kamau,Internet,6,2025,7240.67,,,7240.67
1026,Brenda Kamau,Internet,7,2025,11638.47,,,11638.47
1026,Brenda Kamau,Internet,8,2025,10294.29,,,10294.29
1026,Brenda Kamau,Internet,9,2025,11287.74,,,11287.74
1026,Brenda Kamau,Internet,10,2025,10905.52,,,10905.52
1026,Brenda Kamau,Internet,11,2025,3032.44,,,3032.44
1026,Brenda Kamau,Internet,12,2025,2601.85,,,2601.85
1026,Brenda Kamau,Eating Out,1,2025,2404.31,,,2404.31
1026,Brenda Kamau,Eating Out,2,2025,10470.78,,,10470.78
1026,Brenda Kamau,Eating Out,3,2025,4546.5,,,4546.5
1026,Brenda Kamau,Eating Out,4,2025,12056.62,,,12056.62
1026,Brenda Kamau,Eating Out,5,2025,12279.77,,,12279.77
1026,Brenda Kamau,Eating Out,6,2025,7690.65,,,7690.65
1026,Brenda Kamau,Eating Out,7,2025,2608.35,,,2608.35
1026,Brenda Kamau,Eating Out,8,2025,4569.89,,,4569.89
1026,Brenda Kamau,Eating Out,9,2025,9801.43,,,9801.43
1026,Brenda Kamau,Eating Out,10,2025,7657.15,,,7657.15
1026,Brenda Kamau,Eating Out,11,2025,10118.85,7517.64,74.29,10118.85
